V1_2_1_1,50.21507752
V1_2_1_2,803.4412403
V1_2_2_1,401.7206201
V1_2_2_2,6427.529922
V1_3_1_1,112.9839244
V1_3_1_2,1807.742791
V1_3_2_1,903.8713953
V1_3_2_2,14461.94232
V2_1_1_1,25.10753876
V2_1_1_2,401.7206201
V2_1_2_1,200.8603101
V2_1_2_2,3213.764961
V2_3_1_1,225.9678488
V2_3_1_2,3615.485581
V2_3_2_1,1807.742791
V2_3_2_2,28923.88465
V3_1_1_1,37.66130814
V3_1_1_2,602.5809302
V3_1_2_1,301.2904651
V3_1_2_2,4820.647442
V3_2_1_1,150.6452325
V3_2_1_2,2410.323721
V3_2_2_1,1205.16186
V3_2_2_2,19282.58977
V1_1_3_1,338.9517732
V1_1_3_2,5423.228372
V2_2_3_1,2711.614186
V2_2_3_2,43385.82697
V3_3_3_1,9151.697877
V3_3_3_2,146427.166
